Downloaded from SuperMag. SMR is renamed to dst_sm. Added msc column so making SmrHourly can work.
year	month	day	hour	min	sec msc	dst_sm
2024	05	10	17	30	0  0	142.5
2024	05	10	17	31	0  0	145.0
2024	05	10	17	32	0  0	145.7
2024	05	10	17	33	0  0	143.9
2024	05	10	17	34	0  0	145.0
2024	05	10	17	35	0  0	146.0
2024	05	10	17	36	0  0	148.3
2024	05	10	17	37	0  0	151.8
2024	05	10	17	38	0  0	168.8
2024	05	10	17	39	0  0	181.5
2024	05	10	17	40	0  0	180.1
2024	05	10	17	41	0  0	164.6
2024	05	10	17	42	0  0	152.9
2024	05	10	17	43	0  0	137.7
2024	05	10	17	44	0  0	141.5
2024	05	10	17	45	0  0	145.8
2024	05	10	17	46	0  0	127.9
2024	05	10	17	47	0  0	116.7
2024	05	10	17	48	0  0	110.8
2024	05	10	17	49	0  0	105.2
2024	05	10	17	50	0  0	106.3
2024	05	10	17	51	0  0	100.6
2024	05	10	17	52	0  0	97.7
2024	05	10	17	53	0  0	95.1
2024	05	10	17	54	0  0	88.1
2024	05	10	17	55	0  0	91.9
2024	05	10	17	56	0  0	93.8
2024	05	10	17	57	0  0	89.5
2024	05	10	17	58	0  0	82.6
2024	05	10	17	59	0  0	75.2
2024	05	10	18	00	0  0	78.6
2024	05	10	18	01	0  0	82.6
2024	05	10	18	02	0  0	85.3
2024	05	10	18	03	0  0	89.2
2024	05	10	18	04	0  0	83.9
2024	05	10	18	05	0  0	76.1
2024	05	10	18	06	0  0	70.6
2024	05	10	18	07	0  0	69.1
2024	05	10	18	08	0  0	60.9
2024	05	10	18	09	0  0	49.5
2024	05	10	18	10	0  0	50.6
2024	05	10	18	11	0  0	53.6
2024	05	10	18	12	0  0	51.2
2024	05	10	18	13	0  0	39.0
2024	05	10	18	14	0  0	36.8
2024	05	10	18	15	0  0	27.4
2024	05	10	18	16	0  0	19.9
2024	05	10	18	17	0  0	13.3
2024	05	10	18	18	0  0	8.7
2024	05	10	18	19	0  0	6.6
2024	05	10	18	20	0  0	4.1
2024	05	10	18	21	0  0	2.5
2024	05	10	18	22	0  0	1.4
2024	05	10	18	23	0  0	3.9
2024	05	10	18	24	0  0	1.5
2024	05	10	18	25	0  0	-1.2
2024	05	10	18	26	0  0	-2.4
2024	05	10	18	27	0  0	23.2
2024	05	10	18	28	0  0	38.1
2024	05	10	18	29	0  0	38.1
2024	05	10	18	30	0  0	29.0
2024	05	10	18	31	0  0	15.8
2024	05	10	18	32	0  0	-3.7
2024	05	10	18	33	0  0	-20.4
2024	05	10	18	34	0  0	-27.7
2024	05	10	18	35	0  0	-25.8
2024	05	10	18	36	0  0	-28.1
2024	05	10	18	37	0  0	-30.2
2024	05	10	18	38	0  0	-31.4
2024	05	10	18	39	0  0	-30.4
2024	05	10	18	40	0  0	-29.7
2024	05	10	18	41	0  0	-30.6
2024	05	10	18	42	0  0	-32.9
2024	05	10	18	43	0  0	-33.4
2024	05	10	18	44	0  0	-32.2
2024	05	10	18	45	0  0	-31.0
2024	05	10	18	46	0  0	-30.9
2024	05	10	18	47	0  0	-32.6
2024	05	10	18	48	0  0	-35.1
2024	05	10	18	49	0  0	-37.1
2024	05	10	18	50	0  0	-35.2
2024	05	10	18	51	0  0	-27.3
2024	05	10	18	52	0  0	-24.2
2024	05	10	18	53	0  0	-24.7
2024	05	10	18	54	0  0	-27.5
2024	05	10	18	55	0  0	-23.9
2024	05	10	18	56	0  0	-28.3
2024	05	10	18	57	0  0	-34.6
2024	05	10	18	58	0  0	-50.8
2024	05	10	18	59	0  0	-78.6
2024	05	10	19	00	0  0	-85.4
2024	05	10	19	01	0  0	-90.2
2024	05	10	19	02	0  0	-93.8
2024	05	10	19	03	0  0	-97.3
2024	05	10	19	04	0  0	-102.0
2024	05	10	19	05	0  0	-112.4
2024	05	10	19	06	0  0	-118.3
2024	05	10	19	07	0  0	-120.5
2024	05	10	19	08	0  0	-121.7
2024	05	10	19	09	0  0	-119.5
2024	05	10	19	10	0  0	-117.4
2024	05	10	19	11	0  0	-118.0
2024	05	10	19	12	0  0	-120.4
2024	05	10	19	13	0  0	-125.0
2024	05	10	19	14	0  0	-128.2
2024	05	10	19	15	0  0	-130.6
2024	05	10	19	16	0  0	-136.0
2024	05	10	19	17	0  0	-141.5
2024	05	10	19	18	0  0	-147.6
2024	05	10	19	19	0  0	-152.9
2024	05	10	19	20	0  0	-157.1
2024	05	10	19	21	0  0	-162.1
2024	05	10	19	22	0  0	-162.4
2024	05	10	19	23	0  0	-159.0
2024	05	10	19	24	0  0	-153.3
2024	05	10	19	25	0  0	-156.8
2024	05	10	19	26	0  0	-159.3
