Downloaded from SuperMag. SMR is renamed to dst_sm. All indexes are in nT.
year	month	day	hour	min	sec	SME	SML	SMU	dst_sm
2024	05	10	08	39	00	254	-172	82	25.3
2024	05	10	08	40	00	239	-162	77	25.2
2024	05	10	08	41	00	235	-154	80	25.4
2024	05	10	08	42	00	234	-146	88	25.6
2024	05	10	08	43	00	232	-137	95	25.8
2024	05	10	08	44	00	227	-133	94	25.8
2024	05	10	08	45	00	226	-127	98	25.7
2024	05	10	08	46	00	225	-124	102	25.7
2024	05	10	08	47	00	223	-116	106	25.8
2024	05	10	08	48	00	202	-108	93	26.0
2024	05	10	08	49	00	202	-108	94	26.0
2024	05	10	08	50	00	227	-109	118	25.6
2024	05	10	08	51	00	239	-105	134	25.5
2024	05	10	08	52	00	242	-110	132	25.3
2024	05	10	08	53	00	220	-111	109	25.1
2024	05	10	08	54	00	199	-103	96	25.1
2024	05	10	08	55	00	188	-97	91	24.9
2024	05	10	08	56	00	185	-90	95	24.7
2024	05	10	08	57	00	186	-90	96	24.3
2024	05	10	08	58	00	181	-88	93	24.3
2024	05	10	08	59	00	173	-79	93	24.3
2024	05	10	09	00	00	184	-76	107	24.5
2024	05	10	09	01	00	174	-73	101	24.8
2024	05	10	09	02	00	148	-69	79	25.3
2024	05	10	09	03	00	143	-68	75	25.1
2024	05	10	09	04	00	163	-71	91	25.1
2024	05	10	09	05	00	167	-79	88	26.1
2024	05	10	09	06	00	167	-87	80	26.6
2024	05	10	09	07	00	191	-95	96	26.9
2024	05	10	09	08	00	176	-98	77	26.5
2024	05	10	09	09	00	158	-96	63	26.4
2024	05	10	09	10	00	161	-94	67	26.0
2024	05	10	09	11	00	168	-93	75	25.8
2024	05	10	09	12	00	170	-93	77	25.5
2024	05	10	09	13	00	164	-90	74	25.2
2024	05	10	09	14	00	157	-86	71	25.1
2024	05	10	09	15	00	154	-84	70	25.4
2024	05	10	09	16	00	157	-85	72	25.8
2024	05	10	09	17	00	164	-83	81	26.4
2024	05	10	09	18	00	152	-79	73	26.7
2024	05	10	09	19	00	136	-77	58	27.3
2024	05	10	09	20	00	131	-76	54	28.2
2024	05	10	09	21	00	126	-72	54	28.7
2024	05	10	09	22	00	144	-68	76	28.8
2024	05	10	09	23	00	147	-63	84	28.6
2024	05	10	09	24	00	123	-59	63	28.3
2024	05	10	09	25	00	110	-55	55	27.8
