Sym-H and AL  obtained from Kyoto WDC for SWPC Event 7.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1998 07 07 07 25 00 000  -18.00   -24.00
1998 07 07 07 26 00 000  -20.00   -24.00
1998 07 07 07 27 00 000  -21.00   -25.00
1998 07 07 07 28 00 000  -22.00   -25.00
1998 07 07 07 29 00 000  -22.00   -23.00
1998 07 07 07 30 00 000  -22.00   -18.00
1998 07 07 07 31 00 000  -21.00   -20.00
1998 07 07 07 32 00 000  -21.00   -20.00
1998 07 07 07 33 00 000  -21.00   -22.00
1998 07 07 07 34 00 000  -21.00   -23.00
1998 07 07 07 35 00 000  -21.00   -21.00
1998 07 07 07 36 00 000  -20.00   -20.00
1998 07 07 07 37 00 000  -20.00   -20.00
1998 07 07 07 38 00 000  -20.00   -20.00
1998 07 07 07 39 00 000  -20.00   -23.00
1998 07 07 07 40 00 000  -19.00   -24.00
1998 07 07 07 41 00 000  -19.00   -24.00
1998 07 07 07 42 00 000  -20.00   -25.00
1998 07 07 07 43 00 000  -20.00   -25.00
1998 07 07 07 44 00 000  -20.00   -26.00
1998 07 07 07 45 00 000  -20.00   -27.00
1998 07 07 07 46 00 000  -21.00   -29.00
1998 07 07 07 47 00 000  -21.00   -30.00
1998 07 07 07 48 00 000  -22.00   -28.00
1998 07 07 07 49 00 000  -22.00   -29.00
1998 07 07 07 50 00 000  -22.00   -30.00
1998 07 07 07 51 00 000  -22.00   -30.00
1998 07 07 07 52 00 000  -23.00   -28.00
1998 07 07 07 53 00 000  -23.00   -27.00
1998 07 07 07 54 00 000  -23.00   -25.00
1998 07 07 07 55 00 000  -23.00   -25.00
1998 07 07 07 56 00 000  -23.00   -23.00
1998 07 07 07 57 00 000  -23.00   -26.00
1998 07 07 07 58 00 000  -23.00   -25.00
1998 07 07 07 59 00 000  -23.00   -29.00
1998 07 07 08 00 00 000  -23.00   -27.00
1998 07 07 08 01 00 000  -23.00   -25.00
1998 07 07 08 02 00 000  -23.00   -20.00
1998 07 07 08 03 00 000  -23.00   -19.00
1998 07 07 08 04 00 000  -23.00   -17.00
1998 07 07 08 05 00 000  -23.00   -19.00
1998 07 07 08 06 00 000  -22.00   -21.00
1998 07 07 08 07 00 000  -22.00   -20.00
1998 07 07 08 08 00 000  -22.00   -21.00
1998 07 07 08 09 00 000  -22.00   -21.00
1998 07 07 08 10 00 000  -22.00   -22.00
1998 07 07 08 11 00 000  -22.00   -23.00
1998 07 07 08 12 00 000  -22.00   -23.00
1998 07 07 08 13 00 000  -22.00   -27.00
1998 07 07 08 14 00 000  -22.00   -29.00
1998 07 07 08 15 00 000  -23.00   -29.00
1998 07 07 08 16 00 000  -23.00   -28.00
1998 07 07 08 17 00 000  -23.00   -31.00
1998 07 07 08 18 00 000  -23.00   -40.00
1998 07 07 08 19 00 000  -23.00   -45.00
1998 07 07 08 20 00 000  -24.00   -62.00
1998 07 07 08 21 00 000  -24.00   -88.00
1998 07 07 08 22 00 000  -25.00   -82.00
1998 07 07 08 23 00 000  -25.00   -72.00
1998 07 07 08 24 00 000  -25.00   -77.00
1998 07 07 08 25 00 000  -25.00   -84.00
1998 07 07 08 26 00 000  -25.00   -80.00
1998 07 07 08 27 00 000  -24.00   -78.00
1998 07 07 08 28 00 000  -23.00   -67.00
1998 07 07 08 29 00 000  -22.00   -69.00
1998 07 07 08 30 00 000  -22.00   -71.00
1998 07 07 08 31 00 000  -21.00   -77.00
1998 07 07 08 32 00 000  -21.00   -78.00
1998 07 07 08 33 00 000  -21.00  -103.00
1998 07 07 08 34 00 000  -21.00  -107.00
1998 07 07 08 35 00 000  -21.00  -104.00
1998 07 07 08 36 00 000  -21.00  -131.00
1998 07 07 08 37 00 000  -21.00  -179.00
1998 07 07 08 38 00 000  -22.00  -181.00
1998 07 07 08 39 00 000  -22.00  -190.00
1998 07 07 08 40 00 000  -22.00  -183.00
1998 07 07 08 41 00 000  -23.00  -192.00
1998 07 07 08 42 00 000  -23.00  -178.00
1998 07 07 08 43 00 000  -23.00  -184.00
1998 07 07 08 44 00 000  -24.00  -172.00
1998 07 07 08 45 00 000  -24.00  -179.00
1998 07 07 08 46 00 000  -24.00  -186.00
1998 07 07 08 47 00 000  -24.00  -180.00
1998 07 07 08 48 00 000  -24.00  -165.00
1998 07 07 08 49 00 000  -24.00  -159.00
1998 07 07 08 50 00 000  -24.00  -156.00
1998 07 07 08 51 00 000  -25.00  -149.00
1998 07 07 08 52 00 000  -25.00  -146.00
1998 07 07 08 53 00 000  -25.00  -155.00
1998 07 07 08 54 00 000  -26.00  -165.00
1998 07 07 08 55 00 000  -26.00  -174.00
1998 07 07 08 56 00 000  -26.00  -188.00
1998 07 07 08 57 00 000  -26.00  -195.00
1998 07 07 08 58 00 000  -26.00  -182.00
1998 07 07 08 59 00 000  -26.00  -172.00
1998 07 07 09 00 00 000  -26.00  -157.00
1998 07 07 09 01 00 000  -26.00  -166.00
1998 07 07 09 02 00 000  -26.00  -168.00
1998 07 07 09 03 00 000  -26.00  -148.00
1998 07 07 09 04 00 000  -26.00  -150.00
1998 07 07 09 05 00 000  -26.00  -146.00
1998 07 07 09 06 00 000  -25.00  -139.00
1998 07 07 09 07 00 000  -25.00  -138.00
1998 07 07 09 08 00 000  -26.00  -138.00
1998 07 07 09 09 00 000  -26.00  -133.00
1998 07 07 09 10 00 000  -26.00  -127.00
1998 07 07 09 11 00 000  -26.00  -125.00
1998 07 07 09 12 00 000  -26.00  -126.00
1998 07 07 09 13 00 000  -26.00  -126.00
1998 07 07 09 14 00 000  -26.00  -122.00
1998 07 07 09 15 00 000  -26.00  -116.00
1998 07 07 09 16 00 000  -26.00  -113.00
1998 07 07 09 17 00 000  -26.00  -114.00
1998 07 07 09 18 00 000  -26.00  -114.00
1998 07 07 09 19 00 000  -25.00  -106.00
1998 07 07 09 20 00 000  -25.00  -101.00
1998 07 07 09 21 00 000  -24.00  -114.00
1998 07 07 09 22 00 000  -23.00  -132.00
1998 07 07 09 23 00 000  -24.00  -131.00
