Sym-H and AL  obtained from Kyoto WDC for SWPC Event 10.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1999 07 02 08 58 00 000  -14.00  -106.00
1999 07 02 08 59 00 000  -14.00  -108.00
1999 07 02 09 00 00 000  -13.00   -86.00
1999 07 02 09 01 00 000  -13.00   -70.00
1999 07 02 09 02 00 000  -12.00   -53.00
1999 07 02 09 03 00 000  -12.00   -33.00
1999 07 02 09 04 00 000  -12.00   -32.00
1999 07 02 09 05 00 000  -13.00   -44.00
1999 07 02 09 06 00 000  -14.00   -53.00
1999 07 02 09 07 00 000  -16.00   -62.00
1999 07 02 09 08 00 000  -17.00   -69.00
1999 07 02 09 09 00 000  -19.00   -45.00
1999 07 02 09 10 00 000  -19.00   -42.00
1999 07 02 09 11 00 000  -18.00   -38.00
1999 07 02 09 12 00 000  -15.00   -33.00
1999 07 02 09 13 00 000  -14.00   -40.00
1999 07 02 09 14 00 000  -14.00   -21.00
